Letter,Nominal shaft,Opening,Screwdriver / brand / tip,Fit: tight / good / loose,Return / release / rocking notes
A,round 2 mm,diameter 2.3 mm,,,
B,round 2.5 mm,diameter 2.8 mm,,,
C,round 3 mm,diameter 3.3 mm,,,
D,round 3.5 mm,diameter 3.8 mm,,,
E,round 4 mm,diameter 4.3 mm,,,
F,round 4.5 mm,diameter 4.8 mm,,,
G,round 5 mm,diameter 5.3 mm,,,
H,round 5.5 mm,diameter 5.8 mm,,,
I,round 6 mm,diameter 6.3 mm,,,
J,round 6.5 mm,diameter 6.8 mm,,,
K,round 7 mm,diameter 7.3 mm,,,
L,round 7.5 mm,diameter 7.8 mm,,,
M,round 8 mm,diameter 8.3 mm,,,
N,1/4 inch hex,AF 6.55 mm,,,
O,1/4 inch hex,AF 6.75 mm,,,
P,1/4 inch hex,AF 6.95 mm,,,
